station,date,time,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
UNV,2022-10-01,00:55,BKN,OVC,,10000.00,11000.00,
UNV,2022-10-01,01:55,OVC,,,11000.00,,
UNV,2022-10-01,02:55,SCT,BKN,OVC,6000.00,8000.00,12000.00
UNV,2022-10-01,03:55,BKN,,,12000.00,,
UNV,2022-10-01,04:55,OVC,,,10000.00,,
UNV,2022-10-01,05:53,BKN,,,10000.00,,
UNV,2022-10-01,06:53,BKN,,,11000.00,,
UNV,2022-10-01,07:53,BKN,,,7000.00,,
UNV,2022-10-01,08:53,OVC,,,7000.00,,
UNV,2022-10-01,09:53,FEW,BKN,,3000.00,6000.00,
UNV,2022-10-01,10:53,FEW,OVC,,3000.00,4600.00,
UNV,2022-10-01,11:53,OVC,,,2800.00,,
UNV,2022-10-01,12:53,OVC,,,3100.00,,
UNV,2022-10-01,13:53,OVC,,,3100.00,,
UNV,2022-10-01,14:53,SCT,OVC,,1900.00,2900.00,
UNV,2022-10-01,15:53,SCT,BKN,OVC,1600.00,2100.00,3700.00
UNV,2022-10-01,16:53,SCT,BKN,OVC,1900.00,2300.00,3300.00
UNV,2022-10-01,17:53,SCT,BKN,OVC,1800.00,2300.00,3300.00
UNV,2022-10-01,18:53,BKN,BKN,,800.00,2800.00,
UNV,2022-10-01,19:53,BKN,OVC,,600.00,1000.00,
UNV,2022-10-01,20:53,BKN,OVC,,500.00,1000.00,
UNV,2022-10-01,21:53,BKN,OVC,,500.00,900.00,
UNV,2022-10-01,22:55,SCT,OVC,,700.00,1300.00,
UNV,2022-10-01,23:55,SCT,SCT,OVC,1000.00,1400.00,1800.00
UNV,2022-10-02,00:55,OVC,,,2200.00,,
UNV,2022-10-02,01:55,OVC,,,1200.00,,
UNV,2022-10-02,02:55,SCT,OVC,,600.00,1200.00,
UNV,2022-10-02,03:55,BKN,OVC,,600.00,1000.00,
UNV,2022-10-02,04:55,BKN,OVC,,900.00,5000.00,
UNV,2022-10-02,05:53,BKN,OVC,,600.00,1100.00,
UNV,2022-10-02,06:53,OVC,,,800.00,,
UNV,2022-10-02,07:53,OVC,,,800.00,,
UNV,2022-10-02,08:53,BKN,OVC,,600.00,1100.00,
UNV,2022-10-02,09:53,BKN,OVC,,600.00,1000.00,
UNV,2022-10-02,10:53,BKN,OVC,,600.00,1400.00,
UNV,2022-10-02,11:53,SCT,BKN,BKN,600.00,2600.00,6000.00
UNV,2022-10-02,12:53,SCT,BKN,OVC,1300.00,2200.00,7000.00
UNV,2022-10-02,13:53,SCT,BKN,OVC,1200.00,2100.00,7000.00
UNV,2022-10-02,14:53,SCT,BKN,OVC,2500.00,7000.00,11000.00
UNV,2022-10-02,15:53,SCT,BKN,OVC,2600.00,7000.00,9000.00
UNV,2022-10-02,16:53,SCT,SCT,BKN,2900.00,7500.00,11000.00
UNV,2022-10-02,17:53,SCT,BKN,,2900.00,7500.00,
UNV,2022-10-02,18:53,SCT,BKN,OVC,3000.00,3900.00,9500.00
UNV,2022-10-02,19:53,SCT,BKN,,3800.00,10000.00,
UNV,2022-10-02,20:53,SCT,BKN,BKN,3000.00,3400.00,9000.00
UNV,2022-10-02,21:53,SCT,BKN,,2800.00,3400.00,
UNV,2022-10-02,22:55,SCT,SCT,SCT,7000.00,8500.00,11000.00
UNV,2022-10-02,23:55,SCT,SCT,SCT,5500.00,7500.00,9000.00
UNV,2022-10-03,00:55,SCT,SCT,SCT,6000.00,7000.00,9000.00
UNV,2022-10-03,01:55,SCT,SCT,,7500.00,8000.00,
UNV,2022-10-03,02:55,CLR,,,,,
UNV,2022-10-03,03:55,CLR,,,,,
UNV,2022-10-03,04:55,CLR,,,,,
UNV,2022-10-03,05:53,CLR,,,,,
UNV,2022-10-03,06:53,SCT,,,12000.00,,
UNV,2022-10-03,07:53,SCT,,,12000.00,,
UNV,2022-10-03,08:53,CLR,,,,,
UNV,2022-10-03,09:53,FEW,,,1000.00,,
UNV,2022-10-03,10:53,FEW,,,1500.00,,
UNV,2022-10-03,11:53,FEW,,,2500.00,,
UNV,2022-10-03,12:53,CLR,,,,,
UNV,2022-10-03,13:53,CLR,,,,,
UNV,2022-10-03,14:53,CLR,,,,,
UNV,2022-10-03,15:53,CLR,,,,,
UNV,2022-10-03,16:53,CLR,,,,,
UNV,2022-10-03,17:53,CLR,,,,,
UNV,2022-10-03,18:53,SCT,,,11000.00,,
UNV,2022-10-03,19:53,CLR,,,,,
UNV,2022-10-03,20:53,CLR,,,,,
UNV,2022-10-03,21:53,CLR,,,,,
UNV,2022-10-03,22:55,CLR,,,,,
UNV,2022-10-03,23:55,CLR,,,,,
UNV,2022-10-04,00:55,CLR,,,,,
UNV,2022-10-04,01:55,BKN,,,11000.00,,
UNV,2022-10-04,02:55,SCT,BKN,,8000.00,11000.00,
