"Plot Title: 21504860"
40.809313,-77.874813
"#","Date","Time, GMT-04:00","Temp, °C (LGR S/N: 21504860, SEN S/N: 21504860)","Intensity, Lux (LGR S/N: 21504860, SEN S/N: 21504860)","Coupler Attached (LGR S/N: 21504860)","Host Connected (LGR S/N: 21504860)","Stopped (LGR S/N: 21504860)","End Of File (LGR S/N: 21504860)"
1,10/01/22,00:00:00.0,8.182,0.0,,,,
2,10/01/22,00:05:00.0,8.282,0.0,,,,
3,10/01/22,00:10:00.0,8.382,0.0,,,,
4,10/01/22,00:15:00.0,8.382,0.0,,,,
5,10/01/22,00:20:00.0,8.481,0.0,,,,
6,10/01/22,00:25:00.0,8.481,0.0,,,,
7,10/01/22,00:30:00.0,8.481,0.0,,,,
8,10/01/22,00:35:00.0,8.481,0.0,,,,
9,10/01/22,00:40:00.0,8.481,0.0,,,,
10,10/01/22,00:45:00.0,8.481,0.0,,,,
11,10/01/22,00:50:00.0,8.581,0.0,,,,
12,10/01/22,00:55:00.0,8.581,0.0,,,,
13,10/01/22,01:00:00.0,8.680,0.0,,,,
14,10/01/22,01:05:00.0,8.680,0.0,,,,
15,10/01/22,01:10:00.0,8.680,0.0,,,,
16,10/01/22,01:15:00.0,8.680,0.0,,,,
17,10/01/22,01:20:00.0,8.779,0.0,,,,
18,10/01/22,01:25:00.0,8.779,0.0,,,,
19,10/01/22,01:30:00.0,8.779,0.0,,,,
20,10/01/22,01:35:00.0,8.779,0.0,,,,
21,10/01/22,01:40:00.0,8.779,0.0,,,,
22,10/01/22,01:45:00.0,8.779,0.0,,,,
23,10/01/22,01:50:00.0,8.779,0.0,,,,
24,10/01/22,01:55:00.0,8.779,0.0,,,,
25,10/01/22,02:00:00.0,8.779,0.0,,,,
26,10/01/22,02:05:00.0,8.779,0.0,,,,
27,10/01/22,02:10:00.0,8.879,0.0,,,,
28,10/01/22,02:15:00.0,8.879,0.0,,,,
29,10/01/22,02:20:00.0,8.879,0.0,,,,
30,10/01/22,02:25:00.0,8.879,0.0,,,,
31,10/01/22,02:30:00.0,8.879,0.0,,,,
32,10/01/22,02:35:00.0,8.978,0.0,,,,
33,10/01/22,02:40:00.0,8.978,0.0,,,,
34,10/01/22,02:45:00.0,8.978,0.0,,,,
35,10/01/22,02:50:00.0,8.978,0.0,,,,
36,10/01/22,02:55:00.0,8.978,0.0,,,,
37,10/01/22,03:00:00.0,8.879,0.0,,,,
38,10/01/22,03:05:00.0,8.879,0.0,,,,
39,10/01/22,03:10:00.0,8.879,0.0,,,,
40,10/01/22,03:15:00.0,8.779,0.0,,,,
41,10/01/22,03:20:00.0,8.879,0.0,,,,
42,10/01/22,03:25:00.0,8.879,0.0,,,,
43,10/01/22,03:30:00.0,8.879,0.0,,,,
44,10/01/22,03:35:00.0,8.879,0.0,,,,
45,10/01/22,03:40:00.0,8.879,0.0,,,,
46,10/01/22,03:45:00.0,8.879,0.0,,,,
47,10/01/22,03:50:00.0,8.879,0.0,,,,
48,10/01/22,03:55:00.0,8.879,0.0,,,,
49,10/01/22,04:00:00.0,8.879,0.0,,,,
50,10/01/22,04:05:00.0,8.779,0.0,,,,
51,10/01/22,04:10:00.0,8.680,0.0,,,,
52,10/01/22,04:15:00.0,8.581,0.0,,,,
53,10/01/22,04:20:00.0,8.481,0.0,,,,
54,10/01/22,04:25:00.0,8.481,0.0,,,,
55,10/01/22,04:30:00.0,8.581,0.0,,,,
56,10/01/22,04:35:00.0,8.581,0.0,,,,
57,10/01/22,04:40:00.0,8.581,0.0,,,,
58,10/01/22,04:45:00.0,8.680,0.0,,,,
59,10/01/22,04:50:00.0,8.680,0.0,,,,
60,10/01/22,04:55:00.0,8.779,0.0,,,,
61,10/01/22,05:00:00.0,8.779,0.0,,,,
62,10/01/22,05:05:00.0,8.879,0.0,,,,
63,10/01/22,05:10:00.0,8.879,0.0,,,,
64,10/01/22,05:15:00.0,8.879,0.0,,,,
65,10/01/22,05:20:00.0,8.879,0.0,,,,
66,10/01/22,05:25:00.0,8.879,0.0,,,,
67,10/01/22,05:30:00.0,8.680,0.0,,,,
68,10/01/22,05:35:00.0,8.481,0.0,,,,
69,10/01/22,05:40:00.0,8.282,0.0,,,,
70,10/01/22,05:45:00.0,8.282,0.0,,,,
71,10/01/22,05:50:00.0,8.481,0.0,,,,
72,10/01/22,05:55:00.0,8.581,0.0,,,,
73,10/01/22,06:00:00.0,8.680,0.0,,,,
74,10/01/22,06:05:00.0,8.779,0.0,,,,
75,10/01/22,06:10:00.0,8.779,0.0,,,,
76,10/01/22,06:15:00.0,8.779,0.0,,,,
77,10/01/22,06:20:00.0,8.879,0.0,,,,
78,10/01/22,06:25:00.0,8.779,0.0,,,,
79,10/01/22,06:30:00.0,8.779,0.0,,,,
80,10/01/22,06:35:00.0,8.779,0.0,,,,
81,10/01/22,06:40:00.0,8.779,0.0,,,,
82,10/01/22,06:45:00.0,8.779,0.0,,,,
83,10/01/22,06:50:00.0,8.779,0.0,,,,
84,10/01/22,06:55:00.0,8.680,53.8,,,,
85,10/01/22,07:00:00.0,8.680,139.9,,,,
86,10/01/22,07:05:00.0,8.680,258.3,,,,
87,10/01/22,07:10:00.0,8.779,398.3,,,,
88,10/01/22,07:15:00.0,8.680,645.8,,,,
89,10/01/22,07:20:00.0,8.581,764.2,,,,
90,10/01/22,07:25:00.0,8.481,1205.6,,,,
91,10/01/22,07:30:00.0,8.481,1980.6,,,,
92,10/01/22,07:35:00.0,8.779,2583.4,,,,
93,10/01/22,07:40:00.0,9.077,2669.5,,,,
94,10/01/22,07:45:00.0,9.176,2669.5,,,,
95,10/01/22,07:50:00.0,9.373,2755.6,,,,
96,10/01/22,07:55:00.0,9.373,2927.8,,,,
97,10/01/22,08:00:00.0,9.472,3616.7,,,,
98,10/01/22,08:05:00.0,9.571,4650.0,,,,
99,10/01/22,08:10:00.0,9.768,7577.8,,,,
100,10/01/22,08:15:00.0,10.063,12400.1,,,,
101,10/01/22,08:20:00.0,10.553,15155.7,,,,
102,10/01/22,08:25:00.0,10.944,22044.6,,,,
103,10/01/22,08:30:00.0,11.625,28933.5,,,,
104,10/01/22,08:35:00.0,12.304,30311.3,,,,
105,10/01/22,08:40:00.0,12.594,34444.7,,,,
106,10/01/22,08:45:00.0,12.497,30311.3,,,,
107,10/01/22,08:50:00.0,12.594,26178.0,,,,
108,10/01/22,08:55:00.0,12.594,24800.2,,,,
109,10/01/22,09:00:00.0,12.207,17222.3,,,,
110,10/01/22,09:05:00.0,12.013,19289.0,,,,
111,10/01/22,09:10:00.0,12.207,23422.4,,,,
112,10/01/22,09:15:00.0,12.690,31689.1,,,,
113,10/01/22,09:20:00.0,13.076,28933.5,,,,
114,10/01/22,09:25:00.0,12.883,23422.4,,,,
115,10/01/22,09:30:00.0,13.269,37200.2,,,,
116,10/01/22,09:35:00.0,13.846,34444.7,,,,
117,10/01/22,09:40:00.0,13.846,33066.9,,,,
118,10/01/22,09:45:00.0,13.846,28933.5,,,,
119,10/01/22,09:50:00.0,14.325,41333.6,,,,
120,10/01/22,09:55:00.0,14.421,37200.2,,,,
121,10/01/22,10:00:00.0,14.804,38578.0,,,,
122,10/01/22,10:05:00.0,15.187,44089.2,,,,
123,10/01/22,10:10:00.0,15.664,49600.3,,,,
124,10/01/22,10:15:00.0,15.473,49600.3,,,,
125,10/01/22,10:20:00.0,15.951,60622.6,,,,
126,10/01/22,10:25:00.0,16.713,57867.0,,,,
127,10/01/22,10:30:00.0,17.284,68889.3,,,,
128,10/01/22,10:35:00.0,17.760,68889.3,,,,
129,10/01/22,10:40:00.0,18.711,79911.6,,,,
130,10/01/22,10:45:00.0,18.236,46844.8,,,,
131,10/01/22,10:50:00.0,16.713,41333.6,,,,
132,10/01/22,10:55:00.0,16.713,57867.0,,,,
133,10/01/22,11:00:00.0,16.903,55111.5,,,,
134,10/01/22,11:05:00.0,17.760,55111.5,,,,
135,10/01/22,11:10:00.0,18.711,71644.9,,,,
136,10/01/22,11:15:00.0,19.092,57867.0,,,,
137,10/01/22,11:20:00.0,18.806,46844.8,,,,
138,10/01/22,11:25:00.0,17.379,38578.0,,,,
139,10/01/22,11:30:00.0,16.523,31689.1,,,,
140,10/01/22,11:35:00.0,16.237,38578.0,,,,
141,10/01/22,11:40:00.0,16.713,49600.3,,,,
142,10/01/22,11:45:00.0,17.570,52355.9,,,,
143,10/01/22,11:50:00.0,18.331,60622.6,,,,
144,10/01/22,11:55:00.0,18.616,57867.0,,,,
145,10/01/22,12:00:00.0,18.616,52355.9,,,,
146,10/01/22,12:05:00.0,18.045,41333.6,,,,
147,10/01/22,12:10:00.0,17.760,44089.2,,,,
148,10/01/22,12:15:00.0,16.999,31689.1,,,,
149,10/01/22,12:20:00.0,16.427,27555.7,,,,
150,10/01/22,12:25:00.0,16.999,46844.8,,,,
151,10/01/22,12:30:00.0,18.045,44089.2,,,,
152,10/01/22,12:35:00.0,18.045,37200.2,,,,
153,10/01/22,12:40:00.0,17.475,28933.5,,,,
154,10/01/22,12:45:00.0,17.570,46844.8,,,,
155,10/01/22,12:50:00.0,17.094,16533.4,,,,
156,10/01/22,12:55:00.0,16.903,44089.2,,,,
157,10/01/22,13:00:00.0,17.379,37200.2,,,,
158,10/01/22,13:05:00.0,17.475,33066.9,,,,
159,10/01/22,13:10:00.0,17.379,37200.2,,,,
160,10/01/22,13:15:00.0,18.331,44089.2,,,,
161,10/01/22,13:20:00.0,18.236,34444.7,,,,
162,10/01/22,13:25:00.0,17.665,28933.5,,,,
163,10/01/22,13:30:00.0,17.379,31689.1,,,,
164,10/01/22,13:35:00.0,16.903,22044.6,,,,
165,10/01/22,13:40:00.0,16.332,13777.9,,,,
166,10/01/22,13:45:00.0,15.760,17222.3,,,,
167,10/01/22,13:50:00.0,15.664,30311.3,,,,
168,10/01/22,13:55:00.0,15.187,38578.0,,,,
